billing_date,client_id,client_name,region,contract_type,consumption_kwh,co2_emissions,cost_per_kwh,total_cost,renewable_energy_percentage
2024-10-02,47,"Gutierrez, Smith and Chen",Norte,Comercial,6773,574.69,0.22,1490.06,71
2024-04-20,48,"Phillips, Smith and Huffman",Oeste,Comercial,972,476.77,0.11,106.92,41
2024-02-04,49,"Carter, Jordan and Perez",Sur,Comercial,8196,1911.58,0.2,1639.2,84
2024-05-07,50,Clark PLC,Norte,Residencial,544,1166.16,0.18,97.92,84
2024-05-10,51,Wood-Smith,Norte,Residencial,9144,353.97,0.22,2011.68,45
2024-05-07,52,"Morris, Fritz and Hughes",Sur,Comercial,6398,787.26,0.19,1215.62,5
2024-02-28,53,"Martin, Martin and Hardy",Centro,Residencial,1058,1746.22,0.24,253.92,32
2024-09-13,54,Arnold Ltd,Norte,Comercial,4676,1838.71,0.24,1122.24,84
2024-01-31,55,Davis-Clark,Norte,Comercial,7473,145.12,0.18,1345.14,23
2024-07-16,56,"Reid, Powell and Buck",Este,Comercial,1556,682.07,0.11,171.16,42
2024-06-11,57,Jones-Young,Este,Comercial,7141,1550.19,0.18,1285.38,45
2024-09-05,58,Martin Inc,Norte,Comercial,3807,1914.8,0.18,685.26,44
2024-11-03,59,Smith-Jordan,Oeste,Comercial,7197,1925.87,0.17,1223.49,75
2024-08-25,60,Obrien-Sellers,Norte,Comercial,5620,279.36,0.24,1348.8,61
2024-02-18,61,Williams PLC,Sur,Residencial,6264,673.31,0.14,876.96,40
2024-10-15,62,Brown-Franklin,Oeste,Comercial,9777,1950.84,0.11,1075.47,41
2024-11-08,63,"Warren, Hicks and Huerta",Centro,Comercial,3145,1485.81,0.18,566.1,3
2024-03-19,64,"Davis, Oconnor and Wilson",Norte,Comercial,3909,665.86,0.19,742.71,9
2024-08-11,65,"Deleon, Perez and Hardy",Norte,Comercial,3070,923.8,0.25,767.5,83
2024-01-09,66,"Mcdowell, Rice and Bauer",Norte,Residencial,5145,973.07,0.22,1131.9,38
2024-08-13,67,Oconnor Inc,Sur,Comercial,5867,940.39,0.2,1173.4,49
2024-10-09,68,Gilmore-Thompson,Centro,Comercial,9457,345.37,0.1,945.7,40
2024-03-28,69,Johnson Ltd,Este,Residencial,5189,1333.87,0.19,985.91,59
2024-02-28,70,"Camacho, Page and Curtis",Oeste,Residencial,257,398.74,0.18,46.26,10
2024-07-13,71,"Wolf, Martinez and Austin",Sur,Residencial,6715,1610.4,0.21,1410.15,79
2024-08-02,72,Crawford Group,Oeste,Residencial,6120,1816.05,0.23,1407.6,55
2024-01-20,73,Sutton and Sons,Norte,Comercial,5357,504.24,0.18,964.26,34
2024-08-03,74,Ford LLC,Norte,Residencial,8819,1504.66,0.24,2116.56,57
2024-05-23,75,Johnson-Smith,Este,Comercial,4421,942.1,0.15,663.15,33
2024-02-27,76,"Berger, Gaines and Obrien",Norte,Comercial,1272,416.53,0.17,216.24,60
2024-11-04,77,Garcia-Jones,Centro,Residencial,5090,385.38,0.21,1068.9,7
2024-10-15,78,Raymond-Kane,Este,Residencial,5687,482.67,0.13,739.3100000000001,75
2024-06-01,79,"Schneider, Davis and Brown",Norte,Comercial,396,724.28,0.12,47.52,32
2024-10-29,80,Coleman and Sons,Oeste,Comercial,7450,1418.8,0.1,745.0,29
2024-08-16,81,Bass PLC,Este,Comercial,3245,502.06,0.11,356.95,93
2024-06-29,82,"Lam, Martinez and Jones",Este,Comercial,3939,553.98,0.24,945.36,30
2024-02-01,83,Quinn Inc,Este,Residencial,7240,1658.22,0.14,1013.6,17
2024-06-01,84,"Taylor, Roberts and Lopez",Centro,Residencial,6480,1388.47,0.25,1620.0,41
2024-06-29,85,Sparks PLC,Sur,Residencial,2069,1790.14,0.13,268.97,22
2024-02-05,86,Bell-Berg,Este,Residencial,1148,252.3,0.17,195.16000000000005,12
2024-03-12,87,Rodgers-Clements,Centro,Comercial,4905,1738.54,0.15,735.75,7
2024-02-10,88,"Wilson, Gardner and Randall",Norte,Comercial,4887,1160.41,0.18,879.66,25
2024-08-23,89,Grant-Dawson,Centro,Residencial,322,1099.64,0.11,35.42,20
2024-10-28,90,"Mack, Copeland and Dominguez",Sur,Residencial,8798,1458.59,0.2,1759.6,51
2024-09-03,91,"Gilbert, Garcia and Grant",Sur,Comercial,8381,1889.53,0.22,1843.82,47
2024-07-16,92,"Thomas, Kirk and Ibarra",Centro,Residencial,7334,270.28,0.13,953.42,41
2024-05-03,93,Castro-Blackwell,Sur,Residencial,4007,1770.74,0.13,520.91,70
2024-09-07,94,Walsh Ltd,Oeste,Residencial,6626,1359.17,0.22,1457.72,3
2024-10-10,95,"Wilson, Robertson and Burns",Centro,Comercial,9299,249.95,0.16,1487.84,11
2024-02-05,96,Harris Group,Oeste,Comercial,5815,563.2,0.25,1453.75,53
2024-09-21,97,"Mills, Garcia and Lee",Norte,Comercial,4192,1795.08,0.2,838.4000000000001,61
2024-01-12,98,"Rodriguez, Washington and Martin",Sur,Residencial,7802,478.39,0.15,1170.3,19
2024-02-01,99,"Dunn, Torres and Bates",Norte,Residencial,3129,1379.89,0.21,657.09,33
2024-10-26,100,Martinez Group,Norte,Residencial,3371,841.78,0.11,370.81,50
2024-07-08,101,Hoffman LLC,Sur,Comercial,1904,546.21,0.17,323.68,35
2024-06-01,102,"Farmer, Anderson and Curtis",Centro,Comercial,1067,605.96,0.2,213.4,6
2024-02-01,103,Maldonado Group,Norte,Comercial,4326,1856.32,0.17,735.4200000000001,2
2024-10-16,104,Schultz-Allen,Centro,Residencial,5167,1895.13,0.16,826.72,71
2024-01-13,105,Green Group,Sur,Comercial,7862,812.06,0.25,1965.5,73
2024-02-07,106,Bennett-Smith,Centro,Comercial,7651,1048.09,0.17,1300.67,1
2024-06-05,107,Miller LLC,Sur,Residencial,260,1059.12,0.15,39.0,62
2024-03-07,108,Moore Inc,Oeste,Residencial,4535,1093.7,0.17,770.95,44
2024-04-24,109,Stone-Kennedy,Sur,Comercial,5905,1074.08,0.13,767.65,67
2024-06-27,110,"Payne, Barber and Cameron",Este,Residencial,8585,57.69,0.16,1373.6,69
2024-10-03,111,Vargas PLC,Este,Residencial,5690,781.26,0.11,625.9,27
2024-01-30,112,Burke and Sons,Norte,Comercial,1647,284.45,0.23,378.81,22
2024-04-04,113,Beasley LLC,Oeste,Residencial,8548,1234.89,0.13,1111.24,76
2024-02-21,114,Zhang-Jenkins,Centro,Comercial,3244,182.53,0.24,778.56,37
2024-08-15,115,Jones LLC,Centro,Residencial,5322,958.8,0.19,1011.18,24
2024-05-27,116,"Snow, Ramirez and Allen",Sur,Residencial,7437,1056.1,0.11,818.07,88
2024-03-21,117,Coleman Inc,Centro,Residencial,4788,1408.3,0.19,909.72,61
2024-01-29,118,"Ellis, Wilcox and Rodriguez",Este,Residencial,6879,571.82,0.23,1582.17,82
2024-01-11,119,Rodriguez Inc,Este,Residencial,4885,589.5,0.11,537.35,18
2024-02-02,120,"Bailey, Lewis and Thomas",Norte,Comercial,3458,1323.71,0.24,829.92,12
2024-01-21,121,"Fischer, Meyers and Herrera",Sur,Comercial,7496,1541.48,0.13,974.48,27
2024-01-06,122,Jordan Inc,Centro,Comercial,1689,84.47,0.17,287.13,8
2024-09-22,123,Clark-Pena,Oeste,Residencial,9384,723.74,0.11,1032.24,60
2024-03-05,124,Sanchez-Lopez,Este,Comercial,1290,307.95,0.16,206.4,58
2024-01-27,125,"Stafford, Sampson and Martin",Este,Residencial,8680,998.39,0.21,1822.8,76
2024-07-07,126,King-Horn,Este,Residencial,6692,677.72,0.24,1606.08,97
2024-07-31,127,Hernandez and Sons,Oeste,Comercial,5822,1402.6,0.19,1106.18,11
2024-06-09,128,Williams Inc,Oeste,Comercial,5008,928.56,0.24,1201.9199999999998,74
2024-11-01,129,"Collins, White and Pierce",Oeste,Comercial,8481,1953.7,0.2,1696.2,56
2024-07-22,130,Harris-Good,Este,Comercial,1457,652.72,0.12,174.84,83
2024-11-03,131,"Moreno, Adams and Schneider",Este,Residencial,4894,681.73,0.23,1125.62,45
2024-03-01,132,"Rodriguez, Johnson and Clark",Este,Residencial,2033,1657.23,0.12,243.96,37
2024-10-19,133,"Myers, Dominguez and Valdez",Este,Comercial,9479,1834.78,0.11,1042.69,20
2024-09-09,134,Johnson LLC,Oeste,Residencial,7381,467.71,0.12,885.7199999999999,31
2024-06-19,135,Martinez PLC,Sur,Residencial,1215,224.84,0.13,157.95000000000002,33
2024-01-26,136,Soto Group,Oeste,Comercial,3819,1379.35,0.15,572.85,99
2024-03-21,137,Gutierrez and Sons,Centro,Residencial,7695,326.98,0.11,846.45,93
2024-09-13,138,Barrett-Frye,Este,Residencial,2210,1975.78,0.21,464.1,23
2024-07-09,139,Brown-Higgins,Oeste,Comercial,932,813.11,0.24,223.68,98
2024-07-31,140,Bautista-Mcdowell,Centro,Comercial,5560,783.41,0.18,1000.8,82
2024-08-05,141,Olsen-Williams,Este,Comercial,1205,1123.45,0.16,192.8,72
2024-02-06,142,Paul-Hayes,Oeste,Residencial,8331,1068.14,0.18,1499.58,11
2024-06-19,143,Horn-Harrell,Norte,Residencial,9494,1213.44,0.18,1708.9199999999998,33
2024-09-30,144,Jennings-Montgomery,Centro,Residencial,5435,635.7,0.22,1195.7,4
2024-06-10,145,Peck Inc,Oeste,Residencial,1550,174.81,0.14,217.00000000000003,95
2024-08-30,146,Sampson-Austin,Centro,Comercial,967,675.94,0.11,106.37,68
2024-09-10,147,Williams Group,Centro,Comercial,597,648.16,0.13,77.61,59
2024-11-07,148,Allen LLC,Centro,Comercial,3591,231.45,0.11,395.01,84
2024-09-15,149,Zamora LLC,Centro,Comercial,9227,394.38,0.25,2306.75,76
2024-09-14,150,Jones PLC,Norte,Comercial,4895,425.09,0.16,783.2,47
2024-04-26,151,"Howell, Valdez and Wells",Norte,Comercial,8223,368.23,0.2,1644.6,87
2024-05-11,152,Espinoza LLC,Oeste,Comercial,1669,1846.63,0.21,350.49,29
2024-10-04,153,Wilson-Christian,Norte,Residencial,5699,946.02,0.22,1253.78,62
2024-07-31,154,Perkins Ltd,Centro,Comercial,2551,1680.99,0.14,357.14000000000004,78
2024-02-24,155,Duncan LLC,Este,Comercial,7906,1007.82,0.25,1976.5,94
2024-09-06,156,Chandler Inc,Sur,Residencial,1416,56.71,0.13,184.08,8
2024-09-23,157,Thompson-Villanueva,Norte,Residencial,6345,949.67,0.11,697.95,18
2024-10-02,158,Garza PLC,Centro,Residencial,3654,342.94,0.22,803.88,27
2024-03-16,159,Harrell-Floyd,Centro,Residencial,7880,1775.34,0.22,1733.6,4
2024-09-07,160,Reynolds Ltd,Sur,Comercial,8868,85.56,0.13,1152.84,78
2024-09-13,161,Harrington PLC,Oeste,Comercial,5804,1436.88,0.25,1451.0,41
2024-07-07,162,"Weaver, Drake and Bennett",Sur,Comercial,8878,613.39,0.1,887.8000000000001,37
2024-11-08,163,"Ortiz, Gonzalez and Morales",Oeste,Comercial,6774,415.41,0.18,1219.32,18
2024-08-15,164,"Molina, Watkins and Cook",Centro,Comercial,3780,154.74,0.15,567.0,76
2024-01-18,165,"Romero, Lewis and Webster",Centro,Comercial,2933,647.53,0.22,645.26,27
2024-03-01,166,Mcmillan-Perry,Este,Comercial,6521,1561.04,0.12,782.52,0
2024-03-23,167,"Mcfarland, Cole and Robinson",Norte,Residencial,6879,387.08,0.23,1582.17,26
2024-10-10,168,Johnson-Herman,Norte,Residencial,3956,495.83,0.19,751.64,41
2024-10-06,169,"Garrett, Hale and Kennedy",Oeste,Residencial,5524,1442.2,0.13,718.12,90
2024-06-09,170,Love LLC,Centro,Residencial,1449,1758.58,0.21,304.29,23
2024-05-18,171,"Whitney, Chambers and Browning",Centro,Residencial,2703,669.7,0.15,405.45,39
2024-04-01,172,Ball-Martinez,Norte,Residencial,5057,1530.55,0.22,1112.54,42
2024-08-13,173,Hanson-George,Centro,Comercial,3090,1551.45,0.11,339.9,98
2024-02-29,174,"Torres, Bird and Thomas",Este,Comercial,9515,1500.72,0.13,1236.95,62
2024-02-14,175,Black Group,Oeste,Residencial,5532,1140.05,0.21,1161.72,11
2024-05-06,176,"Howell, Garza and Smith",Este,Comercial,3980,417.47,0.14,557.2,3
2024-03-14,177,Vazquez-Banks,Este,Residencial,9949,1730.5,0.14,1392.86,20
2024-01-12,178,"Martin, Wallace and Jefferson",Norte,Residencial,2570,1279.7,0.18,462.6,30
2024-11-07,179,"Price, West and Alvarez",Norte,Residencial,8868,1249.5,0.18,1596.24,35
2024-06-24,180,"Rodriguez, Hamilton and Henry",Centro,Residencial,9232,1003.09,0.23,2123.36,46
2024-02-23,181,Gonzalez Group,Oeste,Residencial,6234,495.33,0.2,1246.8000000000002,17
2024-09-12,182,Simon Ltd,Sur,Residencial,4978,1458.23,0.24,1194.72,21
2024-01-08,183,Jordan and Sons,Oeste,Comercial,9343,344.23,0.13,1214.59,72
2024-01-08,184,Banks-Davis,Este,Residencial,5943,1693.65,0.12,713.16,21
2024-07-07,185,Burke-Bailey,Este,Comercial,6514,1698.11,0.12,781.68,71
2024-01-06,186,Gardner Ltd,Centro,Residencial,7533,1768.66,0.18,1355.94,52
2024-05-19,187,Burch-Elliott,Sur,Comercial,3049,1369.36,0.18,548.8199999999999,78
2024-05-10,188,Graham-French,Oeste,Comercial,2264,832.95,0.22,498.08,64
2024-02-25,189,Hayes-Jordan,Sur,Comercial,3819,1224.56,0.19,725.61,87
2024-10-19,190,Brown-Allison,Sur,Comercial,4264,645.56,0.2,852.8000000000001,30
2024-04-11,191,"Reid, Jones and Mooney",Este,Comercial,4245,1206.17,0.19,806.55,67
2024-08-29,192,Todd Inc,Sur,Residencial,3578,92.54,0.1,357.8,6
2024-05-24,193,Clark-Carlson,Centro,Comercial,835,1918.71,0.1,83.5,46
2024-05-21,194,"Morris, Zuniga and Smith",Oeste,Residencial,6694,961.69,0.12,803.28,28
2024-07-23,195,Cole Ltd,Sur,Comercial,8522,172.27,0.13,1107.86,97
2024-03-06,196,Jacobs PLC,Este,Comercial,8952,1499.08,0.25,2238.0,81
2024-09-18,197,"Meyer, Hill and West",Este,Residencial,2405,1354.31,0.1,240.5,97
2024-09-24,198,Murray Ltd,Sur,Comercial,1564,490.26,0.14,218.96,70
2024-07-13,199,Brown Inc,Centro,Residencial,3194,1177.4,0.11,351.34,64
2024-03-22,200,"Freeman, Porter and Silva",Oeste,Comercial,9104,220.52,0.14,1274.5600000000002,2
2024-09-30,201,Obrien PLC,Oeste,Residencial,891,1711.6,0.17,151.47,33
2024-03-14,202,"Lutz, Sandoval and Bird",Norte,Residencial,7059,728.06,0.17,1200.03,2
2024-08-01,203,"Pope, Evans and Abbott",Centro,Comercial,5013,508.02,0.19,952.47,3
2024-05-07,204,"Barnes, Foley and Thornton",Sur,Residencial,912,1086.04,0.11,100.32,24
2024-01-14,205,Mckenzie-George,Este,Comercial,8465,1696.17,0.19,1608.35,98
2024-01-03,206,Hopkins-Rodriguez,Sur,Residencial,8166,1145.5,0.14,1143.24,10
2024-01-04,207,Howe-Joseph,Este,Comercial,2650,1098.4,0.19,503.5,1
2024-01-23,208,"Erickson, Gordon and Morrison",Centro,Comercial,9784,1660.65,0.2,1956.8,29
2024-02-08,209,Carter-Smith,Sur,Residencial,4454,245.52,0.22,979.88,90
2024-02-04,210,Cook-Mullins,Centro,Comercial,1246,139.5,0.19,236.74,37
2024-08-23,211,Hess Group,Norte,Residencial,1705,759.73,0.1,170.5,50
2024-05-02,212,"Whitney, Pugh and Hurst",Centro,Comercial,6693,690.93,0.23,1539.39,90
2024-06-12,213,Valencia-Payne,Centro,Comercial,2125,1071.2,0.15,318.75,8
2024-07-18,214,"Green, Bailey and Pennington",Norte,Residencial,6397,57.9,0.16,1023.52,63
2024-01-19,215,"Phillips, Roberts and Taylor",Centro,Comercial,3316,1151.56,0.16,530.5600000000001,44
2024-07-11,216,Brown and Sons,Oeste,Residencial,9829,373.11,0.21,2064.09,96
2024-09-21,217,"Oneill, David and Adams",Norte,Residencial,8894,1197.43,0.11,978.34,46
2024-06-09,218,"Gonzalez, Robinson and Johnson",Norte,Residencial,3024,1456.31,0.14,423.36,8
2024-04-19,219,Daniel-Ayala,Centro,Comercial,9445,592.99,0.12,1133.4,30
2024-07-11,220,"Williams, Malone and Gonzalez",Este,Residencial,6175,1686.61,0.24,1482.0,33
2024-04-24,221,Garner Ltd,Sur,Comercial,9708,1534.17,0.2,1941.6,46
2024-03-21,222,Williams Ltd,Oeste,Residencial,4711,221.75,0.24,1130.64,71
2024-05-12,223,Christian LLC,Sur,Residencial,2329,581.74,0.13,302.77000000000004,10
2024-02-05,224,Davis-Clark,Oeste,Residencial,7749,817.18,0.15,1162.35,35
2024-06-07,225,Paul Ltd,Norte,Comercial,2665,949.28,0.11,293.15,50
2024-04-22,226,Jacobs-Ramirez,Sur,Comercial,3066,1882.4,0.12,367.92,57
2024-03-21,227,Riley PLC,Norte,Residencial,6196,96.06,0.18,1115.28,33
2024-06-09,228,Watts-Dorsey,Oeste,Comercial,9598,1687.34,0.14,1343.72,37
2024-04-14,229,Washington Inc,Este,Comercial,7133,521.29,0.1,713.3000000000001,2
2024-04-04,230,Vargas-Horne,Sur,Residencial,8348,1295.59,0.11,918.28,36
2024-05-01,231,Fernandez-Morales,Este,Comercial,8110,484.1,0.14,1135.4,92
2024-07-02,232,Robertson-Ramos,Oeste,Comercial,3151,1855.1,0.22,693.22,63
2024-04-12,233,"Newman, Garrison and Ramos",Oeste,Residencial,5239,1556.36,0.18,943.02,27
2024-01-08,234,Figueroa and Sons,Norte,Residencial,915,1446.21,0.22,201.3,63
2024-05-14,235,Morgan Inc,Norte,Residencial,1435,582.41,0.17,243.95,46
2024-08-22,236,Porter PLC,Centro,Comercial,1594,1674.11,0.14,223.16000000000005,16
2024-01-19,237,"Douglas, Palmer and West",Norte,Comercial,9999,1959.12,0.1,999.9,60
2024-09-03,238,"Long, Rios and Burke",Oeste,Residencial,950,1861.6,0.21,199.5,98
2024-04-08,239,Horne-Webb,Sur,Residencial,3245,51.21,0.14,454.30000000000007,39
2024-09-09,240,Hartman PLC,Este,Residencial,6610,1402.32,0.11,727.1,84
2024-01-21,241,Sanchez Ltd,Sur,Residencial,3857,131.72,0.23,887.11,46
2024-04-15,242,Olsen-Henry,Sur,Residencial,2243,989.01,0.13,291.59000000000003,94
2024-07-28,243,Parker-Rodriguez,Sur,Comercial,1279,1018.37,0.19,243.01,26
2024-03-05,244,"Miller, Jackson and Williams",Centro,Residencial,9748,846.02,0.18,1754.64,28
2024-05-30,245,"Gamble, Phillips and Andrews",Sur,Residencial,6627,512.9,0.19,1259.13,18
2024-04-09,246,Anderson PLC,Oeste,Residencial,9595,1567.23,0.24,2302.8,89
2024-01-22,247,"Crawford, Pope and Wade",Sur,Comercial,875,841.41,0.18,157.5,44
2024-08-10,248,"Thomas, Cooke and Moore",Oeste,Comercial,3348,594.61,0.17,569.1600000000001,21
2024-09-08,249,"Hill, Johnson and Kim",Oeste,Comercial,1576,1722.0,0.17,267.92,83
2024-08-02,250,"Nguyen, Chambers and Gaines",Oeste,Comercial,9872,856.55,0.12,1184.64,90
2024-09-17,251,Williams-Allen,Este,Comercial,4930,566.72,0.21,1035.3,77
2024-07-30,252,"Garcia, Perez and Scott",Oeste,Comercial,4882,1734.85,0.11,537.02,4
2024-08-12,253,"Sullivan, Price and Hall",Norte,Comercial,9008,1022.0,0.17,1531.36,9
2024-10-17,254,Day Group,Norte,Comercial,5188,502.81,0.14,726.32,93
2024-08-14,255,Morris-Jenkins,Este,Comercial,5467,480.93,0.24,1312.08,55
2024-09-24,256,Elliott Ltd,Este,Comercial,4256,1385.31,0.19,808.64,89
2024-10-23,257,"Villa, Mcintyre and Mendoza",Norte,Comercial,5245,1067.3,0.11,576.95,71
2024-03-20,258,Dean-Hall,Oeste,Comercial,6920,1209.89,0.25,1730.0,73
2024-04-10,259,Butler and Sons,Sur,Comercial,9895,1611.46,0.17,1682.15,98
2024-07-14,260,Nguyen Group,Sur,Residencial,5622,316.72,0.13,730.86,85
2024-02-19,261,Crawford and Sons,Centro,Comercial,3974,1503.23,0.11,437.14,69
2024-09-03,262,Lawson-Smith,Centro,Residencial,146,627.13,0.2,29.200000000000003,89
2024-03-27,263,"Macias, Harris and Harris",Sur,Residencial,5535,503.67,0.24,1328.4,59
2024-10-02,264,Rodriguez Ltd,Sur,Comercial,5083,1974.56,0.24,1219.9199999999998,46
2024-05-28,265,Johnson-Brooks,Norte,Comercial,4325,231.34,0.19,821.75,29
2024-01-02,266,Flores Inc,Sur,Comercial,5082,1187.89,0.23,1168.86,91
2024-08-19,267,Brown-Erickson,Este,Comercial,2779,753.9,0.14,389.06000000000006,21
2024-03-04,268,"Johnson, Greer and Williams",Oeste,Comercial,1921,604.9,0.14,268.94,21
2024-03-02,269,Cantu-Hawkins,Este,Comercial,9643,245.59,0.22,2121.46,98
2024-08-25,270,Carr Ltd,Oeste,Residencial,2140,104.97,0.1,214.0,61
2024-06-30,271,Clark-Bell,Sur,Comercial,7935,1671.03,0.22,1745.7,13
2024-04-14,272,Huber-Vega,Oeste,Comercial,3213,748.9,0.16,514.08,51
2024-07-18,273,Stuart Ltd,Oeste,Comercial,6112,826.0,0.19,1161.28,51
2024-05-24,274,"Larson, Thompson and Hayes",Norte,Residencial,3176,1941.03,0.1,317.6,37
2024-08-26,275,"Lee, Lowe and Conley",Este,Residencial,6607,611.53,0.17,1123.19,51
2024-08-27,276,Deleon Inc,Oeste,Residencial,8294,781.56,0.23,1907.62,43
2024-10-23,277,Patton-Gibson,Norte,Comercial,5219,1595.35,0.14,730.6600000000001,20
2024-04-24,278,Rodriguez Group,Centro,Comercial,7672,468.08,0.22,1687.84,63
2024-01-03,279,Bell LLC,Sur,Comercial,9207,812.7,0.25,2301.75,93
2024-06-12,280,Lewis and Sons,Sur,Comercial,9413,542.44,0.13,1223.69,28
2024-07-04,281,Coffey Inc,Oeste,Residencial,2444,1940.15,0.23,562.12,87
2024-06-06,282,Koch-Allen,Norte,Residencial,8731,968.51,0.14,1222.34,40
2024-09-18,283,Jones-Baker,Oeste,Comercial,3396,516.49,0.21,713.16,37
2024-01-25,284,"Bonilla, Jones and Hernandez",Oeste,Residencial,4464,87.88,0.25,1116.0,18
2024-03-16,285,Hale Inc,Norte,Residencial,2058,1933.68,0.18,370.44,48
2024-08-18,286,Haley-Smith,Oeste,Residencial,358,316.37,0.16,57.28,67
2024-05-09,287,Sexton-Alexander,Este,Comercial,1343,927.51,0.23,308.89,76
2024-10-18,288,Hull-Lam,Norte,Comercial,7685,1002.16,0.15,1152.75,81
2024-03-20,289,Aguilar-Stephens,Norte,Comercial,7286,1398.27,0.1,728.6,83
2024-01-31,290,Hill-Lester,Norte,Residencial,2268,856.5,0.2,453.6,30
2024-07-01,291,Riggs-Browning,Sur,Comercial,9797,1329.1,0.11,1077.67,43
2024-07-19,292,Hardin and Sons,Sur,Residencial,342,751.92,0.18,61.56,85
2024-01-25,293,"Thompson, Salinas and Stevens",Norte,Residencial,3615,1046.57,0.13,469.95,21
2024-07-13,294,Martin-Wolf,Este,Comercial,3339,197.18,0.24,801.36,75
2024-10-07,295,Edwards-Thompson,Centro,Residencial,8220,1530.73,0.12,986.4,23
